Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,,C-US025-025X050,C2 C4 C5 C7 C8 C9 C10 C11,100nf,C025-025X050,8,
2,,C-US025-025X050,C6,1uf,C025-025X050,1,
3,Polarized capacitor,CP,C3,47uF,CP_Radial_D5.0mm_P2.50mm,1,~
4,Polarized capacitor,CP,C1,47uF 20V,CP_Radial_D5.0mm_P2.50mm,1,~
5,Diode,D,D1 D2,1N4004,D_DO-15_P10.16mm_Horizontal,2,~
6,Diode,D,D3,P6KE24A,D_DO-15_P10.16mm_Horizontal,1,~
7,,78T,IC1,78T,TO220H,1,
8,,DIL28-3,IC2,CY8C24423A-24PXI,DIL28-3,1,
9,,BUZ11BH,IC3,IRF3710,TO220BH,1,
10,,PINHD-1X16,JP4,PINHD-1X16,1X16,1,
11,,PINHD-1X5,JP1,PINHD-1X5,Molex_Mega-Fit_76825-0004_2x02_P5.70mm_Horizontal,1,
12,,PINHD-1X5,JP3,PINHD-1X5,1X05,1,
13,,PINHD-1X6,JP2,PINHD-1X6,Molex_Mega-Fit_76825-0006_2x03_P5.70mm_Horizontal,1,
14,,PINHD-1X6,JP5,PINHD-1X6,1X06,1,
15,,R-US_0204_7,R15,1.2k,0204_7,1,
16,,R-US_0309_12,R1,10,0309_12,1,
17,,R-US_0204_7,R16,100,0204_7,1,
18,,R-US_0204_7,R4 R10,10k,0204_7,2,
19,,R-US_0204_7,R2 R5 R6 R8 R9 R11 R12 R13,1k,0204_7,8,
20,,R-US_0204_7,R14,4.7k,0204_7,1,
21,,R-US_0204_7,R3,61.9,0204_7,1,
22,,R-US_0204_7,R7,R-US_0204_7,0204_7,1,





Component Groups:,22
Component Count:,38
Fitted Components:,38
Number of PCBs:,1
Total components:,38
Schematic Version:,
Schematic Date:,
BoM Date:,tor 28 mar 2019 13:11:28
Schematic Source:,/home/jp/Documents/KiCad/SLC_Free_PCB_V2/SLC_Free_PCB.sch
KiCad Version:,Eeschema 5.1.0-060a0da~80~ubuntu18.10.1
